latitude,longitude,date,acq_time_npt,temperature,pressure,cloudcover,humidity,windspeed,precipitation,fire
28.7167,81.4345,2024-04-21,21:48,25.8,991.8,20.5,10.5,2.6,0.28,1
28.7197,81.3923,2024-04-21,21:48,24.3,1014.9,14.3,12.5,2.9,0.18,1
28.7241,81.3603,2024-04-21,21:48,23.0,989.7,25.7,10.2,2.9,0.17,1
28.7714,81.6222,2024-04-21,21:48,24.6,1007.7,12.4,13.9,0.8,0.08,1
28.773,81.4447,2024-04-21,21:48,22.3,1010.4,29.5,6.6,1.9,0.29,1
28.7981,81.2978,2024-04-21,21:48,24.0,1008.8,14.4,10.0,2.2,0.25,1
28.9043,81.7159,2024-04-21,21:48,16.8,992.3,16.2,17.4,1.3,0.18,1
28.7336,80.4436,2024-04-21,21:48,25.5,980.2,23.9,7.4,5.9,0.08,1
28.8517,80.9752,2024-04-21,21:48,19.9,1007.7,31.4,6.4,4.2,0.28,1
28.8207,80.6457,2024-04-21,21:48,28.4,983.2,13.5,18.5,5.9,0.05,1
28.8313,80.6545,2024-04-21,21:48,28.5,1007.5,12.9,19.2,3.6,0.09,1
28.975,81.4933,2024-04-21,21:48,18.3,1003.2,31.3,11.5,0.8,0.14,1
28.9373,80.93,2024-04-21,21:48,23.5,1003.8,26.7,6.9,1.9,0.23,1
29.0457,81.4791,2024-04-21,21:48,20.4,1001.2,29.9,8.2,2.2,0.18,1
28.9674,80.9462,2024-04-21,21:48,21.5,1012.5,11.4,11.2,2.5,0.2,1
28.9658,80.9355,2024-04-21,21:48,22.6,983.7,14.5,7.6,1.9,0.29,1
29.0545,81.4777,2024-04-21,21:48,17.5,994.9,53.8,9.1,1.1,0.07,1
29.0531,81.4672,2024-04-21,21:48,23.1,998.4,11.5,16.1,2.2,0.28,1
28.9963,81.0795,2024-04-21,21:48,17.5,981.8,22.3,13.0,3.3,0.14,1
28.9948,81.069,2024-04-21,21:48,19.2,982.4,39.3,7.3,4.6,0.26,1
29.0638,81.4692,2024-04-21,21:48,22.4,981.1,12.1,17.4,1.1,0.28,1
29.0171,81.1528,2024-04-21,21:48,22.2,990.7,15.6,19.9,3.6,0.13,1
28.969,80.8327,2024-04-21,21:48,23.6,1003.5,38.0,7.3,2.6,0.04,1
29.0515,81.1991,2024-04-21,21:48,22.1,984.0,28.2,14.8,2.2,0.02,1
29.0802,80.468,2024-04-21,21:48,21.4,1012.3,15.6,10.8,1.8,0.23,1
29.1105,80.4881,2024-04-21,21:48,22.4,989.5,22.4,11.4,1.4,0.2,1
29.1089,80.4776,2024-04-21,21:48,22.1,980.2,12.1,14.2,1.8,0.18,1
29.1575,80.3682,2024-04-21,21:48,22.3,1001.2,26.8,16.4,1.4,0.11,1
29.1667,80.3669,2024-04-21,21:48,21.3,989.7,27.8,7.1,2.8,0.23,1
29.1468,80.2368,2024-04-21,21:48,21.7,994.1,17.7,10.2,2.8,0.29,1
29.1552,80.2409,2024-04-21,21:48,21.2,1018.7,19.7,8.2,2.8,0.24,1
29.1643,80.239,2024-04-21,21:48,22.0,993.8,13.3,7.7,2.8,0.04,1
29.1914,80.2321,2024-04-21,21:48,23.3,982.3,22.8,16.5,2.5,0.06,1
29.3244,80.7378,2024-04-21,21:48,19.3,1010.5,18.7,6.3,3.8,0.23,1
29.4463,81.4973,2024-04-21,21:48,18.2,983.2,22.0,14.0,2.7,0.04,1
29.4389,81.4462,2024-04-21,21:48,19.6,1009.6,14.9,5.0,2.7,0.25,1
29.4374,81.4363,2024-04-21,21:48,18.7,1012.3,27.8,5.7,3.8,0.1,1
29.4335,80.4822,2024-04-21,21:48,22.5,1003.3,23.1,8.9,1.6,0.29,1
29.3284,80.7458,2024-04-21,03:07,17.5,1000.9,15.1,10.3,3.8,0.22,1
28.7527,81.7373,2024-04-21,03:07,13.0,995.1,21.0,17.5,2.6,0.11,1
29.4358,80.4904,2024-04-21,03:07,15.8,1012.0,23.8,7.0,1.6,0.02,1
28.245,83.6824,2024-04-21,03:07,14.6,986.2,28.5,17.3,5.7,0.2,1
28.2389,83.6757,2024-04-21,03:07,15.0,1003.6,24.2,10.2,2.9,0.09,1
28.3073,82.2919,2024-04-21,03:07,18.7,1019.6,23.9,18.6,2.6,0.23,1
28.0713,82.6703,2024-04-21,03:07,19.1,1004.3,16.2,12.7,4.9,0.18,1
28.0727,82.6634,2024-04-21,03:07,17.8,989.4,22.1,13.4,2.3,0.13,1
29.4327,80.483,2024-04-21,03:07,15.6,983.9,26.0,5.4,3.3,0.1,1
28.0681,82.6863,2024-04-21,03:07,18.7,1015.8,18.1,13.8,2.2,0.24,1
28.4009,82.8088,2024-04-22,09:53,23.3,981.5,28.0,17.7,2.9,0.09,1
28.1366,85.0169,2024-04-22,09:53,26.5,980.4,18.8,17.9,2.9,0.0,1
28.144,85.0159,2024-04-22,09:53,21.7,1005.6,18.2,5.5,1.8,0.14,1
28.251,83.1735,2024-04-22,09:53,25.0,987.0,33.7,17.3,4.6,0.23,1
28.2492,83.1931,2024-04-22,09:53,27.3,1004.4,18.5,13.4,2.3,0.19,1
28.2486,83.1656,2024-04-22,09:53,26.3,993.2,12.1,6.7,4.3,0.22,1
28.2464,83.1874,2024-04-22,09:53,24.5,996.2,18.0,15.0,4.6,0.18,1
28.3058,82.2912,2024-04-22,09:53,28.3,1002.5,22.4,15.7,2.6,0.05,1
28.2552,81.7678,2024-04-22,09:53,32.8,986.3,19.6,19.9,2.1,0.2,1
28.1101,82.7267,2024-04-22,09:53,30.8,1016.9,38.1,10.8,2.2,0.05,1
28.1103,82.7209,2024-04-22,09:53,30.1,1019.2,25.6,16.0,1.8,0.28,1
28.1164,82.0812,2024-04-22,09:53,30.2,989.6,16.1,15.7,2.7,0.08,1
28.0634,82.6691,2024-04-22,09:53,30.5,1010.6,26.6,11.9,2.3,0.28,1
28.0613,82.6924,2024-04-22,09:53,30.0,1000.2,19.2,8.6,2.3,0.1,1
