latitude,longitude,acq_time_npt,date,temperature,humidity,windspeed,pressure,cloudcover,precipitation,non_fire
29.7012,81.9017,14:06,2023-12-30,12.7,16.0,4.0,763.5,67.4,15.1,0
29.6383,82.2882,14:06,2023-12-30,1.7,32.0,5.9,659.0,85.7,4.8,0
28.7808,80.2039,14:06,2023-12-30,21.3,59.0,4.8,980.8,86.0,12.7,0
28.7822,80.2139,14:06,2023-12-30,21.3,59.0,4.8,980.5,68.0,12.7,0
28.7082,80.4103,14:06,2023-12-30,20.9,58.0,2.6,980.9,88.9,11.1,0
28.3541,84.4152,14:06,2023-12-30,14.9,51.0,4.9,836.9,52.2,1.7,0
29.7039,81.2232,14:06,2023-12-30,6.7,32.0,6.0,707.4,45.0,16.5,0
29.8517,80.6164,14:06,2023-12-30,12.6,37.0,7.1,797.2,53.8,34.0,0
28.3753,84.8636,13:09,2023-12-31,2.1,47.5,4.4,991.2,65.6,6.7,0
26.5525,87.8217,13:50,2024-01-01,22.4,59.0,8.6,991.8,64.6,15.2,0
30.0868,81.3429,13:51,2024-01-01,-2.2,25.0,3.6,634.3,47.5,23.8,0
29.3519,81.6649,13:51,2024-01-01,10.5,25.0,2.3,743.1,63.1,4.1,0
30.0886,81.3538,13:51,2024-01-01,-2.8,38.0,3.6,635.8,55.3,23.8,0
29.7517,81.725,10:34,2024-01-03,8.0,17.0,6.5,768.3,52.3,15.1,0
29.8712,80.7042,10:34,2024-01-03,-0.6,13.0,3.6,666.1,64.9,18.5,0
29.7532,81.7146,10:34,2024-01-03,2.6,23.0,2.9,699.3,48.1,14.8,0
29.9602,80.6618,10:34,2024-01-03,13.2,14.0,2.3,832.3,57.0,34.0,0
28.0946,84.0809,13:35,2024-01-03,18.6,49.0,4.4,942.6,40.7,18.2,0
27.0124,87.1983,13:35,2024-01-03,23.2,44.0,8.5,983.9,58.7,2.9,0
27.0139,87.2085,13:35,2024-01-03,21.7,44.0,8.5,957.6,65.6,2.9,0
26.5687,87.6886,13:35,2024-01-03,22.1,56.0,5.0,991.8,84.9,5.8,0
26.6359,86.9545,14:16,2024-01-04,22.7,51.0,10.3,992.6,62.2,13.6,0
26.6363,86.9465,14:16,2024-01-04,22.7,51.0,10.3,992.6,42.3,13.6,0
26.6388,86.9774,14:16,2024-01-04,23.1,47.0,9.9,992.5,80.8,13.6,0
29.0083,82.6899,14:17,2024-01-04,8.3,17.0,10.6,729.4,88.2,1.0,0
29.847,81.3002,14:17,2024-01-04,-3.5,50.0,8.1,641.6,53.0,24.0,0
29.5599,82.4165,14:17,2024-01-04,-1.0,29.0,5.7,647.0,62.5,3.1,0
29.1801,81.6782,14:17,2024-01-04,10.3,33.0,6.9,772.8,85.5,2.5,0
29.1167,81.9022,14:01,2024-01-06,4.7,24.0,6.5,694.2,64.0,3.4,0
27.9838,83.0506,14:01,2024-01-06,16.8,57.1,4.7,1012.2,66.5,18.8,0
29.3914,82.229,14:01,2024-01-06,2.9,21.0,11.1,670.2,50.2,2.7,0
29.7631,81.6566,14:02,2024-01-06,0.8,48.0,5.5,668.6,87.9,18.1,0
29.7874,81.8313,14:02,2024-01-06,8.1,13.0,13.6,724.8,43.0,17.4,0
29.7645,81.6668,14:02,2024-01-06,2.3,48.0,5.5,687.2,56.4,14.8,0
29.8493,81.2896,14:02,2024-01-06,1.2,48.0,10.1,686.9,47.7,24.0,0
29.1227,82.203,10:00,2024-01-07,0.1,16.0,0.4,651.9,45.9,3.7,0
29.0063,82.6287,14:43,2024-01-07,6.8,23.0,5.8,705.7,56.4,1.0,0
29.0077,82.6208,14:43,2024-01-07,3.9,13.0,8.1,665.1,55.4,1.7,0
29.0041,82.5921,14:43,2024-01-07,9.4,33.0,7.1,751.7,57.1,0.8,0
29.1173,81.943,10:40,2024-01-08,3.4,20.0,3.3,691.5,49.6,3.4,0
28.8166,82.4969,13:46,2024-01-08,10.4,44.0,6.0,781.0,49.5,3.7,0
30.0583,80.7714,13:46,2024-01-08,9.6,26.0,8.9,753.4,60.0,24.6,0
29.6925,81.1564,13:46,2024-01-08,4.1,45.0,5.0,715.1,80.9,16.5,0
29.4171,81.5352,13:46,2024-01-08,8.2,26.0,6.9,724.1,51.6,6.0,0
29.6346,82.1912,13:46,2024-01-08,6.2,27.0,6.2,697.9,65.7,1.3,0
28.3014,84.6281,13:46,2024-01-08,-2.8,45.0,2.4,638.3,53.1,1.0,0
28.1489,85.0276,13:46,2024-01-08,9.5,49.0,6.2,781.1,42.3,8.7,0
28.4047,84.8888,13:46,2024-01-08,14.2,56.0,6.6,828.0,67.8,11.8,0
28.2328,84.8519,13:46,2024-01-08,11.6,49.0,6.8,819.3,59.6,11.8,0
29.0573,82.6179,13:46,2024-01-08,6.2,35.0,7.0,714.5,49.7,5.1,0
28.3621,84.8685,09:43,2024-01-09,5.5,66.0,5.8,754.5,55.0,1.5,0
28.3641,84.8733,09:43,2024-01-09,4.3,65.0,5.8,738.1,62.4,1.5,0
29.1069,82.3488,14:27,2024-01-09,2.1,17.0,10.0,644.5,49.2,9.5,0
28.1029,85.6826,14:27,2024-01-09,0.5,42.0,10.4,663.4,58.9,5.0,0
28.0999,85.6385,14:27,2024-01-09,-2.4,41.3,1.7,983.3,57.7,22.3,0
28.2473,85.0637,14:27,2024-01-09,5.7,49.0,2.0,1004.6,69.2,14.6,0
28.2399,85.0663,14:27,2024-01-09,9.4,47.0,5.5,757.8,49.5,1.6,0
28.2798,84.9565,14:27,2024-01-09,11.5,37.0,13.1,785.6,83.5,1.5,0
28.9879,81.7372,14:27,2024-01-09,12.1,40.0,8.0,791.2,86.5,1.7,0
28.0573,85.3539,14:27,2024-01-09,6.1,42.3,2.3,1019.4,46.9,13.6,0
28.0983,85.6877,14:27,2024-01-09,-1.9,35.0,9.5,624.1,60.8,1.1,0
28.0955,85.6493,14:27,2024-01-09,-0.5,42.0,10.4,650.7,65.7,5.0,0
28.0479,85.3549,14:27,2024-01-09,6.3,46.0,5.1,718.5,53.0,1.6,0
29.6625,81.3897,10:23,2024-01-10,6.2,13.0,5.2,742.0,67.4,16.9,0
28.9883,82.3181,10:23,2024-01-10,6.1,14.0,1.1,725.2,52.7,5.1,0
28.9871,82.3277,10:23,2024-01-10,9.5,14.0,1.1,771.6,53.3,3.7,0
28.9377,82.4893,10:24,2024-01-10,6.1,13.0,2.1,733.4,66.1,0.8,0
27.5451,84.195,13:30,2024-01-10,19.8,61.0,4.5,984.7,53.7,1.2,0
28.4081,84.4784,13:30,2024-01-10,1.7,62.0,5.6,666.0,59.8,2.9,0
27.545,84.2001,13:30,2024-01-10,19.8,61.0,4.5,983.4,52.0,1.2,0
28.1053,85.101,13:30,2024-01-10,3.2,46.0,7.5,681.8,81.4,6.6,0
29.031,81.8839,13:31,2024-01-10,3.0,37.0,5.9,659.7,66.1,3.4,0
29.0347,81.9022,13:31,2024-01-10,6.0,26.0,5.4,700.6,44.9,3.4,0
29.0345,81.8994,21:22,2024-01-10,-1.7,58.0,1.1,704.0,69.9,2.6,0
29.8251,80.6284,11:04,2024-01-11,9.0,28.0,3.6,752.3,51.6,24.6,0
27.9121,83.1838,14:11,2024-01-11,14.2,55.0,8.8,848.4,55.4,7.5,0
28.4977,83.5682,14:11,2024-01-11,7.4,45.9,2.7,1011.4,57.1,1.4,0
28.3002,84.2587,14:11,2024-01-11,15.6,60.0,6.1,878.3,45.2,14.8,0
28.3025,84.2635,14:11,2024-01-11,13.8,60.0,6.1,850.8,47.6,8.3,0
29.5059,82.2745,14:12,2024-01-11,7.8,26.0,8.2,683.9,88.4,1.3,0
29.4959,82.2764,14:12,2024-01-11,7.9,11.0,7.6,678.4,67.2,1.3,0
29.6429,82.0556,14:12,2024-01-11,10.2,18.0,4.6,729.3,48.6,2.9,0
28.534,83.6602,14:12,2024-01-11,14.1,41.0,5.5,815.9,68.1,0.8,0
28.9858,82.5215,14:12,2024-01-11,15.6,10.0,8.4,769.4,59.5,1.8,0
29.4971,82.2865,14:12,2024-01-11,3.6,9.0,5.7,632.8,50.8,3.1,0
29.0335,81.8826,22:02,2024-01-11,1.4,11.0,4.5,656.0,40.6,3.4,0
29.0349,81.8941,22:02,2024-01-11,3.6,11.0,4.5,684.5,43.9,3.4,0
27.0764,87.1086,10:07,2024-01-12,15.0,55.7,2.9,995.9,41.2,0.8,0
28.1844,85.2999,10:07,2024-01-12,15.1,32.0,3.2,821.2,85.2,30.5,0
27.075,87.1183,10:07,2024-01-12,17.6,55.9,2.8,985.9,82.2,0.8,0
27.0669,87.1057,13:14,2024-01-12,23.3,53.7,2.4,993.6,66.6,0.8,0
27.0703,87.0938,13:14,2024-01-12,20.7,38.0,4.5,912.3,52.3,0.0,0
27.0736,87.1109,13:14,2024-01-12,21.9,46.0,3.4,980.4,80.7,0.8,0
28.0851,86.1508,13:15,2024-01-12,-0.6,16.0,3.6,604.0,62.4,4.7,0
28.0691,86.1355,13:15,2024-01-12,-0.3,17.0,3.6,607.2,66.5,4.7,0
28.0723,86.1516,13:15,2024-01-12,2.6,17.0,3.6,640.8,85.8,13.9,0
29.1309,82.6228,13:15,2024-01-12,10.8,10.0,4.2,704.3,59.7,1.0,0
29.1225,82.5852,13:15,2024-01-12,12.6,6.0,7.0,710.0,55.5,5.1,0
29.1256,82.6152,13:15,2024-01-12,12.1,11.0,4.2,717.9,47.7,5.1,0
29.1438,82.6239,13:15,2024-01-12,2.7,10.0,7.6,624.7,60.9,5.0,0
28.0732,86.147,13:15,2024-01-12,3.2,17.0,3.6,647.6,50.7,13.9,0
28.0811,86.1304,13:15,2024-01-12,0.8,17.0,3.6,617.7,45.9,4.7,0
26.6295,87.8557,13:55,2024-01-13,19.5,69.0,2.1,990.3,68.1,5.9,0
26.6276,87.8615,13:55,2024-01-13,19.5,69.0,2.1,991.3,84.8,5.9,0
